title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
Protein pancakes: easy recipes and toppings,,,loading...,,False,False,False,False,False,,,,[],https://www.bbcgoodfood.com/recipes/protein-pancakes-easy-recipes-and-toppings
Chicken & chorizo jambalaya,Easy,Serves 4,A star rating of 4.8 out of 5.,2512 ratings,False,False,False,False,False,Prep:10 mins,Cook:45 mins,,"['1 tbsp olive oil', '2 chicken breasts, chopped', '1 onion, diced', '1 red pepper, thinly sliced', '2 garlic cloves, crushed', '75g chorizo, sliced', 'Cajun seasoning', '250g long grain rice', '400g can plum tomato', 'chicken stock']",https://www.bbcgoodfood.com/recipes/chicken-chorizo-jambalaya
Lemon drizzle cake,Easy,Cuts into 10 slices,A star rating of 4.7 out of 5.,2719 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Chilli con carne recipe,Easy,Serves 4,A star rating of 4.8 out of 5.,2469 ratings,False,False,False,False,False,Prep:10 mins,Cook:1 hr,,"['1 large onion', '1 red pepper', '2 garlic cloves', 'oil', '1 heaped tsp hot chilli powder  (or 1 level tbsp if you only have mild)', '1 tsp paprika', '1 tsp ground cumin', '500g lean minced beef', 'beef stock cube', '400g can chopped tomatoes', 'dried marjoram', '1 tsp sugar (or add a thumbnail-sized piece of dark chocolate along with the beans instead, see tip)', 'tomato purée', '410g can red kidney beans', 'plain boiled long grain rice, to serve', ' to serve']",https://www.bbcgoodfood.com/recipes/chilli-con-carne-recipe
Best ever chocolate brownies recipe,More effort,Cuts into 16 squares or 32 triangles,A star rating of 4.8 out of 5.,2499 ratings,False,False,False,False,False,Prep:25 mins,Cook:27 mins - 35 mins,,"['185g unsalted butter', '185g best dark chocolate', '85g plain flour', 'cocoa powder', '50g white chocolate', '50g milk chocolate', '3 large eggs', '275g golden caster sugar']",https://www.bbcgoodfood.com/recipes/best-ever-chocolate-brownies-recipe
Classic Victoria sandwich recipe,Easy,Cuts into 10 slices,A star rating of 4.6 out of 5.,1027 ratings,False,False,False,False,False,Prep:40 mins,Cook:20 mins,,"['200g caster sugar', '200g softened butter', '4 eggs, beaten', '200g self-raising flour', '1 tsp  baking powder', '2 tbsp milk', '100g butter, softened', '140g icing sugar, sifted', 'drop vanilla extract (optional)', 'good-quality strawberry jam', 'icing sugar, to decorate']",https://www.bbcgoodfood.com/recipes/classic-victoria-sandwich-recipe
Creamy courgette lasagne,Easy,Serves 4,A star rating of 4.6 out of 5.,622 ratings,True,False,False,False,False,Prep:10 mins,Cook:20 mins,,"['dried lasagne', '1 tbsp sunflower oil', '1 onion, finely chopped', '700g courgette (about 6), coarsely grated', '2 garlic cloves, crushed', '250g tub ricotta', '50g cheddar', 'jar tomato sauce']",https://www.bbcgoodfood.com/recipes/creamy-courgette-lasagne
Chicken noodle soup,Easy,Serves 2,A star rating of 4.8 out of 5.,742 ratings,False,False,False,False,False,Prep:10 mins,Cook:30 mins,,"['chicken', '1 boneless, skinless chicken breast (about 175g)', 'fresh ginger', '1 garlic clove, finely chopped', '50g rice or wheat noodles', '2 tbsp  sweetcorn, canned or frozen', '2-3 mushrooms, thinly sliced', '2 spring onions, shredded', '2 tsp  soy sauce, plus extra for serving', 'mint  or basil leaves and a little shredded chilli (optional), to serve']",https://www.bbcgoodfood.com/recipes/chicken-noodle-soup
Easy chocolate fudge cake,Easy,Serves 8,A star rating of 4.7 out of 5.,952 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Sweet potato & peanut curry,Easy,Serves 4,A star rating of 4.7 out of 5.,910 ratings,True,True,False,False,True,Prep:15 mins,Cook:45 mins,,"['1 tbsp coconut oil', '1 onion, chopped', '2 garlic cloves, grated', 'thumb-sized piece ginger, grated', 'Thai red curry paste', '1 tbsp smooth peanut butter', '500g sweet potato, peeled and cut into chunks', '400ml can coconut milk', '200g bag spinach', '1 lime, juiced', 'cooked rice, to serve (optional)', ' to serve (optional)']",https://www.bbcgoodfood.com/recipes/satay-sweet-potato-curry
Chicken pasta bake,Easy,Serves 6,A star rating of 4.6 out of 5.,555 ratings,False,False,False,False,False,Prep:30 mins,Cook:45 mins,,"['4 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed ', '¼ tsp chilli flakes', '2 x 400g cans chopped tomatoes', '1 tsp caster sugar', 'mascarpone', '4 skinless chicken breasts, sliced into strips ', 'penne', '70g mature cheddar, grated ', 'grated mozzarella', '½ small bunch of parsley, finely chopped']",https://www.bbcgoodfood.com/recipes/chicken-pasta-bake
Banana bread,Easy,Cuts into 8-10 slices,A star rating of 4.5 out of 5.,1696 ratings,False,False,False,False,False,Prep:15 mins,Cook:50 mins,,"['140g butter, softened, plus extra for the tin', '140g caster sugar', '2 large eggs, beaten', '140g self-raising flour', '1 tsp baking powder', '2 very ripe  bananas, mashed', '50g icing sugar', 'handful dried banana chips, for decoration']",https://www.bbcgoodfood.com/recipes/brilliant-banana-loaf
The best spaghetti bolognese recipe,Easy,Serves 6,A star rating of 4.8 out of 5.,885 ratings,False,False,False,False,False,Prep:25 mins,Cook:1 hr and 50 mins,,"['1 tbsp olive oil', '4 rashers smoked streaky bacon,  finely chopped', '2 medium onions, finely chopped', '2 carrots, trimmed and finely chopped', '2 celery sticks, finely chopped', '2 garlic cloves finely chopped', '2-3 sprigs rosemary leaves picked and finely chopped', '500g beef mince', '2 x 400g tins plum tomatoes', 'small pack basil leaves picked, ¾ finely chopped and the rest left whole for garnish', '1 tsp dried oregano', 'fresh bay leaves', 'tomato purée', 'beef stock cube', '1 red chilli deseeded and finely chopped (optional)', 'red wine', '6 cherry tomatoes sliced in half', '75g parmesan grated, plus extra to serve', 'spaghetti', ' to serve (optional)']",https://www.bbcgoodfood.com/recipes/best-spaghetti-bolognese-recipe
Chorizo & mozzarella gnocchi bake,Easy,Serves 6,A star rating of 4.7 out of 5.,499 ratings,False,False,False,False,False,Prep:10 mins,Cook:25 mins,,"['1 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed', '120g chorizo, diced', '2 x 400g cans chopped  tomatoes', '1 tsp caster sugar', '600g fresh gnocchi', 'mozzarella', 'small bunch of basil, torn', ', to serve']",https://www.bbcgoodfood.com/recipes/chorizo-mozzarella-gnocchi-bake
Burnt aubergine veggie chilli,Easy,Serves 4,A star rating of 4.8 out of 5.,633 ratings,True,False,False,False,False,Prep:25 mins,Cook:2 hrs,,"['1 aubergine', '1 tbsp olive oil or rapeseed oil', '1 red onion, diced', '2 carrots, finely diced', '70g puy lentils or green lentils, rinsed', 'red lentils,', '400g can kidney beans', '3 tbsp dark soy sauce', '400g can chopped tomatoes', '20g dark chocolate, finely chopped', '¼ tsp chilli powder', '2 tsp dried oregano', '2 tsp ground cumin', '2 tsp sweet smoked paprika', 'coriander', '1 tsp cinnamon', 'vegetable stock', '½ lime, juiced', 'brown rice', ' mashed avocado, yogurt or soured cream, grated cheddar, roughly chopped coriander (optional) ']",https://www.bbcgoodfood.com/recipes/burnt-aubergine-veggie-chilli
"Spinach, sweet potato & lentil dhal",Easy,Serves 4,A star rating of 4.8 out of 5.,781 ratings,True,True,False,False,False,Prep:10 mins,Cook:35 mins,,"['sesame oil', '1 red onion, finely chopped', '1 garlic clove, crushed', 'thumb-sized piece ginger, peeled and finely chopped', '1 red chilli, finely chopped', '1½ tsp ground turmeric', '1½ tsp ground cumin', '2 sweet potatoes (about 400g/14oz), cut into even chunks', '250g red split lentils', 'vegetable stock', '80g bag of spinach', '4 spring onions, sliced on the diagonal, to serve', '½ small pack of Thai basil, leaves torn, to serve']",https://www.bbcgoodfood.com/recipes/spinach-sweet-potato-lentil-dhal
Easiest ever seafood rice,Easy,Serves 4,A star rating of 4.5 out of 5.,333 ratings,False,False,False,False,False,Prep:5 mins,Cook:25 mins,,"['1 tbsp olive oil', '1 leek  or onion, sliced', '110g pack chorizo  sausage, chopped', '1 tsp turmeric', '300g long grain rice', 'hot fish or chicken stock', '200g frozen peas', 'frozen seafood mix,']",https://www.bbcgoodfood.com/recipes/easiest-ever-paella
Easy carrot cake,Easy,Serves 10-12,A star rating of 4.5 out of 5.,399 ratings,False,False,False,False,False,Prep:35 mins,Cook:30 mins,,"['vegetable oil,', '100g natural yogurt', '4 large eggs', '1½ tsp vanilla extract', '½ orange, zested', '265g self-raising flour', '335g light muscovado sugar', '2½ tsp ground cinnamon', '¼ fresh nutmeg, finely grated', '265g carrots (about 3), grated', 'sultanas', '100g walnuts or pecans, roughly chopped (optional)', '100g slightly salted butter, softened', '300g icing sugar', 'soft cheese']",https://www.bbcgoodfood.com/recipes/carrot-cake
Classic scones with jam & clotted cream,Easy,Serves 8,A star rating of 4.8 out of 5.,1313 ratings,False,False,False,False,False,Prep:5 mins,Cook:10 mins,,"['350g self-raising flour, plus more for dusting', '1 tsp baking powder', '85g butter, cut into cubes', '3 tbsp caster sugar', '175ml milk', '1 tsp vanilla extract', 'lemon juice', 'beaten egg, to glaze', 'jam and clotted cream, to serve']",https://www.bbcgoodfood.com/recipes/classic-scones-jam-clotted-cream
Ultimate chocolate cake,Easy,Cuts into 14 slices,A star rating of 4.7 out of 5.,1405 ratings,False,False,False,False,False,Prep:30 mins - 40 mins,Cook:1 hr - 1 hr and 30 mins,,"['200g dark chocolate (about 60% cocoa solids), chopped', '200g butter, cubed', 'instant coffee granules', '85g self-raising flour', '85g plain flour', '¼ tsp bicarbonate of soda', '200g light muscovado sugar', '200g golden caster sugar', 'cocoa powder', '3 medium  eggs', '75ml buttermilk', '50g grated chocolate or 100g curls, to decorate', '200g dark chocolate (about 60% cocoa solids), chopped', '300ml double cream', '2 tbsp golden caster sugar', '']",https://www.bbcgoodfood.com/recipes/ultimate-chocolate-cake
Double bean & roasted pepper chilli,Easy,Serves 8,A star rating of 4.7 out of 5.,278 ratings,True,False,False,False,True,Prep:30 mins,Cook:1 hr and 15 mins,,"['2 onions, chopped', '2 celery sticks, finely chopped', 'yellow or orange peppers,', '2 tbsp sunflower oil or rapeseed oil', '2 x 460g jars roasted red peppers', 'chipotle paste', 'red wine vinegar', 'cocoa powder', '1 tbsp dried oregano', '1 tbsp sweet smoked paprika', '2 tbsp ground cumin', '1 tsp ground cinnamon', '2 x 400g cans chopped tomatoes', 'refried beans', '3 x 400g cans kidney beans, drained and rinsed', 'black beans,']",https://www.bbcgoodfood.com/recipes/double-bean-roasted-pepper-chilli
Carrot cake,Easy,15 slices,A star rating of 4.7 out of 5.,1219 ratings,False,False,True,False,False,Prep:1 hr - 1 hr and 15 mins,,,"['175g light muscovado sugar', '175ml sunflower oil', '3 large eggs, lightly beaten', '140g grated carrot (about 3 medium)', 'raisins', '1 large orange, zested', '175g self-raising flour', '1 tsp bicarbonate of soda', '1 tsp ground cinnamon', '½ tsp grated nutmeg (freshly grated will give you the best flavour)', '175g icing sugar', '1½-2 tbsp orange juice']",https://www.bbcgoodfood.com/recipes/yummy-scrummy-carrot-cake-recipe
Mushroom risotto,Easy,Serves 4,A star rating of 4.7 out of 5.,369 ratings,True,False,False,False,False,Prep:5 mins,Cook:25 mins,,"['dried porcini', 'vegetable stock', '2 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, finely chopped', '250g pack chestnut mushrooms, chopped', '300g risotto rice, such as arborio', 'white wine', '25g butter', 'handful parsley  leaves, chopped', '50g parmesan  or Grana Padano, freshly grated']",https://www.bbcgoodfood.com/recipes/mushroom-risotto
Spiced carrot & lentil soup,Easy,Serves 4,A star rating of 4.5 out of 5.,1264 ratings,True,False,False,False,False,Prep:10 mins,Cook:15 mins,,"['2 tsp cumin seeds', 'pinch chilli flakes', '2 tbsp olive oil', '600g carrots, washed and coarsely grated (no need to peel)', 'split red lentils', 'hot vegetable stock', ""125ml milk (to make it dairy-free, see 'try' below)"", 'plain yogurt and naan bread, to serve']",https://www.bbcgoodfood.com/recipes/spiced-carrot-lentil-soup
Vintage chocolate chip cookies,Easy,Makes 30 ,A star rating of 4.8 out of 5.,1113 ratings,False,False,False,False,False,Prep:15 mins,Cook:10 mins,,"['150g salted butter, softened', '80g light brown muscovado sugar', '80g granulated sugar', '2 tsp vanilla extract', '1 large egg', '225g plain flour', '½ tsp bicarbonate of soda', 'salt', '200g plain chocolate chips or chunks']",https://www.bbcgoodfood.com/recipes/vintage-chocolate-chip-cookies
Chocolate fudge crinkle biscuits,Easy,Makes 35-40 mini biscuits,A star rating of 4.8 out of 5.,363 ratings,True,False,False,False,False,Prep:20 mins,Cook:10 mins,,"['cocoa powder,', '200g caster sugar', 'vegetable oil', '2 large eggs', '180g plain flour', '1 tsp baking powder', '70g icing sugar']",https://www.bbcgoodfood.com/recipes/chocolate-fudge-crinkle-biscuits
Chicken arrabbiata stew & parmesan dumplings,Easy,Serves 4 - 6,A star rating of 4.9 out of 5.,281 ratings,False,False,False,False,False,Prep:30 mins,Cook:1 hr,,"['2 tbsp olive oil', '1 onion, thinly sliced', '8 skinless and boneless chicken thighs, halved', '2 large garlic cloves, crushed', '1-1½ tsp chilli flakes', 'tomato pesto', 'chicken stock', '2 x 400g can chopped tomatoes', '5 thyme sprigs, tied', 'sugar', '½ small bunch of parsley, finely chopped', '80g cold unsalted butter, cubed', '150g self-raising flour', '80g parmesan, grated', '50-60ml milk']",https://www.bbcgoodfood.com/recipes/chicken-arrabbiata-stew-parmesan-dumplings
Slow-cooker beef stew,Easy,Serves 4,A star rating of 4.8 out of 5.,423 ratings,False,False,False,False,False,Prep:20 mins,Cook:4 hrs,,"['1 onion, chopped', '2 celery sticks, finely chopped', '2 tbsp rapeseed oil', '3 carrots, halved and cut into chunks', 'bay leaves', '½ pack thyme', 'tomato purée', 'Worcestershire sauce', 'beef stock cubes', '900g beef for braising such as skirt, buy a whole piece and cut it yourself for bigger chunks or buy ready-diced', 'cornflour', '½ small bunch parsley, chopped', ' to serve (optional)']",https://www.bbcgoodfood.com/recipes/slow-cooker-beef-stew
Chicken satay salad,Easy,Serves 2,A star rating of 4.8 out of 5.,195 ratings,False,False,False,False,False,Prep:15 mins,Cook:5 mins - 10 mins,,"['1 tbsp tamari', 'medium curry powder', '¼ tsp ground cumin', '1 garlic clove, finely grated', '1 tsp clear honey', '2 skinless chicken breast fillets (or use turkey breast)', '1 tbsp crunchy peanut butter (choose a sugar-free version with no palm oil, if possible)', 'sweet chilli sauce', '1 tbsp lime juice', 'sunflower oil, for wiping the pan', '2 Little Gem lettuce hearts, cut into wedges', 'cucumber,', 'banana shallot,', ' chopped', 'seeds from ½ pomegranate']",https://www.bbcgoodfood.com/recipes/chicken-satay-salad
Toad-in-the-hole,Easy,Serves 4,A star rating of 4.3 out of 5.,396 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['chipolatas', '1 tbsp sunflower oil', '140g plain flour', '2 eggs', 'semi-skimmed milk']",https://www.bbcgoodfood.com/recipes/sams-toad-hole
Best Yorkshire puddings,Easy,Makes 8 large puds or 24 small,A star rating of 4.8 out of 5.,1038 ratings,True,False,False,False,False,Prep:5 mins,Cook:20 mins,,"['140g plain flour (this is about 200ml/7fl oz)', '4 eggs (200ml/7fl oz)', '200ml milk', 'sunflower oil, for cooking']",https://www.bbcgoodfood.com/recipes/best-yorkshire-puddings
Butternut squash & sage risotto,Easy,Serves 4,A star rating of 4.8 out of 5.,496 ratings,True,False,False,False,False,Prep:10 mins,Cook:40 mins,,"['1kg butternut squash, peeled and cut into bite-size chunks', '3 tbsp olive oil', 'bunch of sage, leaves picked, half roughly chopped, half left whole', 'vegetable stock', '50g butter', '1 onion, finely chopped', '300g risotto rice  (we used arborio)', 'white wine', '50g parmesan or vegetarian alternative, finely grated']",https://www.bbcgoodfood.com/recipes/butternut-squash-sage-risotto
Chicken pasta bake,Easy,Serves 6,A star rating of 4.6 out of 5.,555 ratings,False,False,False,False,False,Prep:30 mins,Cook:45 mins,,"['4 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed ', '¼ tsp chilli flakes', '2 x 400g cans chopped tomatoes', '1 tsp caster sugar', 'mascarpone', '4 skinless chicken breasts, sliced into strips ', 'penne', '70g mature cheddar, grated ', 'grated mozzarella', '½ small bunch of parsley, finely chopped']",https://www.bbcgoodfood.com/recipes/chicken-pasta-bake
One-pan salmon with roast asparagus,Easy,Serves 2,A star rating of 4.7 out of 5.,486 ratings,False,False,False,False,False,Prep:20 mins,Cook:50 mins,,"['400g new potato, halved if large', '2 tbsp olive oil', '8 asparagus  spears, trimmed and halved', '2 handfuls cherry tomatoes', '1 tbsp balsamic vinegar', '2 salmon fillets, about 140g/5oz each', 'handful basil leaves']",https://www.bbcgoodfood.com/recipes/one-pan-salmon-roast-asparagus
Chorizo & mozzarella gnocchi bake,Easy,Serves 6,A star rating of 4.7 out of 5.,499 ratings,False,False,False,False,False,Prep:10 mins,Cook:25 mins,,"['1 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed', '120g chorizo, diced', '2 x 400g cans chopped  tomatoes', '1 tsp caster sugar', '600g fresh gnocchi', 'mozzarella', 'small bunch of basil, torn', ', to serve']",https://www.bbcgoodfood.com/recipes/chorizo-mozzarella-gnocchi-bake
Broccoli & stilton soup,Easy,Serves 4,A star rating of 4.8 out of 5.,415 ratings,False,False,False,False,False,Prep:10 mins,Cook:35 mins,,"['2 tbsp rapeseed oil', '1 onion, finely chopped', '1 stick  celery, sliced', '1 leek, sliced', 'potato,', '1 knob butter', 'low salt or homemade chicken or vegetable stock', '1 head  broccoli, roughly chopped', '140g stilton, or other blue cheese, crumbled']",https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup
Chicken & mushroom puff pie,Easy,Serves 4 - 6,A star rating of 4.8 out of 5.,427 ratings,False,False,False,False,False,Prep:45 mins,Cook:30 mins,,"['vegetable oil', '8 skinless boneless chicken thighs', '8 rashers smoked streaky bacon, cut into large pieces', '1 onion, halved and sliced', '250g baby button mushrooms', 'handful of thyme  sprigs', '2 tbsp plain flour', 'chicken stock', '200ml milk', 'pack fresh puff pastry,', '1 egg, beaten']",https://www.bbcgoodfood.com/recipes/chicken-mushroom-puff-pie
Slow-cooker beef stew,Easy,Serves 4,A star rating of 4.8 out of 5.,423 ratings,False,False,False,False,False,Prep:20 mins,Cook:4 hrs,,"['1 onion, chopped', '2 celery sticks, finely chopped', '2 tbsp rapeseed oil', '3 carrots, halved and cut into chunks', 'bay leaves', '½ pack thyme', 'tomato purée', 'Worcestershire sauce', 'beef stock cubes', '900g beef for braising such as skirt, buy a whole piece and cut it yourself for bigger chunks or buy ready-diced', 'cornflour', '½ small bunch parsley, chopped', ' to serve (optional)']",https://www.bbcgoodfood.com/recipes/slow-cooker-beef-stew
"Chicken, sweet potato & coconut curry",Easy,Serves 2 adults and 2 children,A star rating of 4.5 out of 5.,541 ratings,False,False,False,False,False,Total time35 mins,,,"['1 tbsp sunflower oil', 'mild curry paste', '2 large boneless, skinless chicken breasts, cut into bite-size pieces', '2 medium-sized sweet potatoes, peeled and cut into bite-size pieces', 'red split lentils', 'chicken stock', '400ml can coconut milk', '175g frozen peas']",https://www.bbcgoodfood.com/recipes/chicken-sweet-potato-coconut-curry
Spanakopita,Easy,Serves 4,A star rating of 4.7 out of 5.,455 ratings,True,False,False,False,False,Prep:10 mins,Cook:30 mins,,"['200g bag spinach leaves ', 'jar sundried tomato', '100g feta cheese, crumbled', '2 eggs', 'filo pastry']",https://www.bbcgoodfood.com/recipes/crispy-greek-style-pie
Chinese chicken curry,Easy,Serves 4,A star rating of 4.7 out of 5.,452 ratings,False,False,False,False,False,Prep:15 mins,Cook:40 mins,,"['skinless chicken breasts,', 'cornflour', '1 onion, diced', '2 tbsp rapeseed oil', '1 garlic clove, crushed', 'curry powder', '1 tsp turmeric', '½ tsp ground ginger', 'pinch sugar', 'chicken stock', '1 tsp soy sauce', 'handful frozen peas', 'rice to serve']",https://www.bbcgoodfood.com/recipes/chinese-chicken-curry
Strawberry cheesecake in 4 easy steps,Easy,Serves 12 - 14,A star rating of 4.5 out of 5.,476 ratings,False,False,False,False,False,Prep:30 mins,,,"['digestive biscuits', '100g butter, melted', '1 vanilla pod', 'full fat soft cheese', '100g icing sugar', '284ml pot of double cream', '400g punnet of strawberries, halved ', '25g icing sugar']",https://www.bbcgoodfood.com/recipes/strawberry-cheesecake-4-easy-steps
Easy sausage casserole,Easy,Serves 4 - 6,A star rating of 4.7 out of 5.,416 ratings,False,False,False,False,False,Prep:15 mins,Cook:1 hr,,"['2 tbsp olive or  rapeseed oil', '1 onion, finely chopped', '2 medium sticks celery, finely chopped', '1 yellow pepper, chopped', '1 red pepper, chopped', '6 cooking chorizo sausages (about 400g)', 'pork sausages', '3 fat garlic cloves, chopped', '1 ½ tsp sweet smoked paprika', '½ tsp ground cumin', '1 tbsp dried thyme', 'white wine', '2 x 400g cans cherry tomatoes or chopped tomatoes', '2 sprigs fresh  thyme', 'chicken stock cube', ' drained and rinsed', 'bunch chives,']",https://www.bbcgoodfood.com/recipes/sausage-bean-casserole
Smoked haddock & leek risotto,Easy,Serves 4,A star rating of 4.7 out of 5.,388 ratings,False,False,False,False,False,Prep:5 mins,Cook:35 mins,,"['small knob of butter', '1 large leek, thinly sliced', '300g risotto rice, such as arborio or carnaroli', 'fish or vegetable stock', '250ml full-fat milk', '375g undyed smoked haddock, skinned and cut into large chunks', '3 tbsp crème fraîche', '100g baby spinach']",https://www.bbcgoodfood.com/recipes/smoked-haddock-leek-risotto
Tomato soup,Easy, serves 4 for lunch or 6 as a starter,A star rating of 4.6 out of 5.,401 ratings,True,True,False,False,False,Total time1 hr and 45 mins,,,"['1-1.25kg/2lb 4oz-2lb 12oz ripe  tomatoes', '1 medium onion', '1 small carrot', '1 celery  stick', '2 tbsp olive oil', 'tomato purée', 'a good pinch of sugar', 'bay leaves', 'hot vegetable stock']",https://www.bbcgoodfood.com/recipes/tomato-soup
Family meals: Easy fish pie recipe,Easy,Serves a family of 4-6 or makes 6-8 toddler meals,A star rating of 4.7 out of 5.,381 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['Maris Piper potatoes,', '400ml milk, plus a splash', '25g butter, plus a knob', '25g plain flour', '4 spring onions, finely sliced', 'fish pie mix', '1 tsp Dijon or English mustard', 'bunch chives,', 'handful frozen sweetcorn', 'frozen petits pois', 'handful grated cheddar']",https://www.bbcgoodfood.com/recipes/family-meals-easy-fish-pie-recipe
Chickpea curry,Easy,Serves 4,A star rating of 4.7 out of 5.,380 ratings,True,True,False,False,True,Prep:15 mins,Cook:25 mins,,"['oil', '1 onion, diced', '1 tsp fresh or dried chilli, to taste', '9 garlic cloves (approx 1 small bulb of garlic)', 'thumb-sized piece ginger, peeled', 'ground coriander', '2 tbsp ground cumin', '1 tbsp garam masala', 'tomato purée', 'chickpeas,', '400g can chopped tomatoes', '100g creamed coconut', 'coriander,', '100g spinach', 'cooked rice and/or dahl']",https://www.bbcgoodfood.com/recipes/kadala-curry
Fish pie - in four steps,Easy,Serves 4,A star rating of 4.8 out of 5.,350 ratings,False,False,False,False,False,Prep:45 mins,Cook:30 mins,,"['skinless white fish', '400g skinless smoked haddock fillet ', '600ml full-fat milk', '1 small onion, quartered  ', '4 cloves', 'bay leaves', '4 eggs', 'small bunch parsley, leaves only, chopped', '100g butter', '50g plain flour', 'pinch freshly grated nutmeg', 'floury potato,', '50g cheddar, grated ']",https://www.bbcgoodfood.com/recipes/fish-pie-four-steps
Chicken jalfrezi,Easy,Serves 4,A star rating of 4.5 out of 5.,442 ratings,False,False,False,False,True,Prep:10 mins,Cook:1 hr,,"['½ large onion, roughly chopped', '2 garlic cloves, chopped', '1 green chilli, finely chopped', ' for frying', '400g can plum tomatoes', 'ground coriander', '1 tbsp ground cumin', '1 tsp turmeric', '2-3 chicken breasts, diced', '1 tsp ground cumin', 'ground coriander', '1 tsp turmeric', '½ large onion, sliced', '1 red pepper, chopped', '2 red chillies, finely chopped (optional)', '2 tsp garam masala', 'handful of fresh, chopped coriander leaves', 'cooked basmati rice or naan bread to serve']",https://www.bbcgoodfood.com/recipes/chicken-jalfrezi
Leek & potato soup,Easy,Serves 6 - 8,A star rating of 4.8 out of 5.,342 ratings,True,False,False,False,False,Prep:20 mins,Cook:25 mins,,"['50g butter', 'potatoes,', '1 small onion, cut the same size as the potatoes', '450g white parts of leeks, sliced  (save the green tops for another soup or stock)', '850ml-1.2litres/1.5-2pts light chicken  or vegetable stock', '142ml carton whipping cream', '125ml full-fat milk', 'the white part of 1 leek', 'a small knob of butter', 'finely chopped chives']",https://www.bbcgoodfood.com/recipes/leek-potato-soup
Easy risotto with bacon & peas,Easy,Serves 4,A star rating of 4.7 out of 5.,355 ratings,False,False,False,False,False,Prep:5 mins,Cook:40 mins,,"['1 onion', '2 tbsp olive oil', 'knob of butter', '6 rashers streaky bacon, chopped ', '300g risotto rice', 'hot vegetable stock', '100g frozen peas', 'freshly grated parmesan, to serve']",https://www.bbcgoodfood.com/recipes/easy-risotto-bacon-peas
Mushroom risotto,Easy,Serves 4,A star rating of 4.7 out of 5.,369 ratings,True,False,False,False,False,Prep:5 mins,Cook:25 mins,,"['dried porcini', 'vegetable stock', '2 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, finely chopped', '250g pack chestnut mushrooms, chopped', '300g risotto rice, such as arborio', 'white wine', '25g butter', 'handful parsley  leaves, chopped', '50g parmesan  or Grana Padano, freshly grated']",https://www.bbcgoodfood.com/recipes/mushroom-risotto
Thai pork & peanut curry,Easy,Serves 4,A star rating of 4.8 out of 5.,328 ratings,False,False,False,False,False,Prep:10 mins,Cook:30 mins,,"['vegetable oil', 'bunch spring onions, sliced', 'coriander,', '400g pork tenderloin, sliced', 'Thai red curry paste', '4 tbsp peanut butter', '1 tbsp soft brown sugar', '1 tbsp soy sauce', '400ml can light coconut milk', 'pack baby corn', 'juice 1 lime', 'steamed jasmine rice, to serve']",https://www.bbcgoodfood.com/recipes/thai-pork-peanut-curry
"Sea bass with sizzled ginger, chilli & spring onions",Easy,Serves 6,A star rating of 4.8 out of 5.,311 ratings,False,False,True,False,False,Prep:15 mins,Cook:10 mins,,"['sea bass', 'about 3 tbsp sunflower oil', 'large knob of ginger, peeled and shredded into matchsticks', '3 garlic cloves, thinly sliced', '3 fat, fresh red chillies deseeded and thinly shredded ', 'bunch spring onion, shredded long-ways', '1 tbsp soy sauce']",https://www.bbcgoodfood.com/recipes/sea-bass-sizzled-ginger-chilli-spring-onions
Sausage ragu,Easy,Serves 4,A star rating of 4.5 out of 5.,390 ratings,False,False,False,False,False,Prep:5 mins,Cook:45 mins,,"['3 tbsp olive oil', '1 onion, finely chopped', '2 large garlic cloves, crushed', '¼ tsp chilli flakes', '2 rosemary sprigs, leaves finely chopped', '2 x 400g cans chopped tomatoes', '1 tbsp brown sugar', 'pork sausages', '150ml whole milk', '1 lemon, zested', '350g rigatoni pasta', 'grated parmesan and ½ small bunch parsley, leaves roughly chopped, to serve']",https://www.bbcgoodfood.com/recipes/sausage-ragu
